review_count,rating,price,categories,is_closed
216,4.5,2,bars,0
782,4.5,2,whiskeybars,0
253,4.5,2,mediterranean,0
439,4.5,2,modern_european,0
143,4.5,2,italian,0
202,4.5,2,noodles,0
133,4.5,3,steak,0
434,4.5,2,italian,0
172,4.5,1,vegetarian,0
106,4.5,2,seafood,0
586,4.5,2,indpak,0
178,4.5,1,bakeries,0
1346,4.5,1,bakeries,0
250,4.5,2,ramen,0
144,4.5,2,delis,0
347,4.5,1,coffee,0
228,4.5,4,sushi,0
790,4.5,2,thai,0
412,4.5,1,coffee,0
105,4.5,4,korean,0
273,4.5,2,bakeries,0
199,4.5,2,korean,0
316,4.5,1,coffee,0
365,4.5,3,italian,0
93,4.5,1,sushi,0
170,4.5,4,sushi,0
467,4.5,2,italian,0
117,4.5,2,italian,0
570,4.5,2,gourmet,0
85,4.5,2,mediterranean,0
2688,4.5,2,french,0
77,5.0,1,tacos,0
73,5.0,2,salad,0
497,4.5,2,newamerican,0
559,4.5,2,latin,0
174,4.5,1,tacos,0
258,4.5,1,mideastern,0
301,4.5,2,tapas,0
94,4.5,2,breakfast_brunch,0
148,4.5,1,pizza,0
475,4.5,4,newamerican,0
137,4.5,1,foodtrucks,0
1196,4.5,1,sandwiches,0
166,4.5,2,vegan,0
444,4.5,2,hotpot,0
518,4.5,2,mideastern,0
350,4.5,2,chinese,0
551,4.5,2,poke,0
76,5.0,1,bakeries,0
117,4.5,2,uzbek,0
68,5.0,1,delis,0
683,4.5,2,seafood,0
182,4.5,2,japanese,0
102,4.5,2,sushi,0
198,4.5,2,ramen,0
278,4.5,2,seafood,0
227,4.5,2,thai,0
1233,4.5,2,indpak,0
273,4.5,2,italian,0
125,4.5,1,vegan,0
1873,4.5,3,newamerican,0
259,4.5,2,italian,0
621,4.5,2,wine_bars,0
243,4.5,1,coffee,0
612,4.5,3,bars,0
400,4.5,2,cafes,0
613,4.5,2,mideastern,0
579,4.5,1,bookstores,0
225,4.5,2,mexican,0
494,4.5,2,chinese,0
226,4.5,1,indpak,0
122,4.5,1,sandwiches,0
240,4.5,1,sandwiches,0
357,4.5,2,lebanese,0
656,4.5,2,japanese,0
238,4.5,2,pizza,0
177,4.5,2,coffee,0
283,4.5,1,coffee,0
465,4.5,2,mediterranean,0
258,4.5,3,wine_bars,0
102,4.5,1,cuban,0
1176,4.5,2,moroccan,0
411,4.5,2,italian,0
299,4.5,2,korean,0
54,5.0,2,szechuan,0
827,4.5,2,coffee,0
187,4.5,2,ramen,0
316,4.5,4,seafood,0
936,4.5,1,belgian,0
276,4.5,1,bakeries,0
149,4.5,3,newamerican,0
204,4.5,2,seafood,0
1226,4.5,2,ramen,0
1658,4.5,2,japanese,0
589,4.5,3,seafood,0
628,4.5,2,mexican,0
304,4.5,2,asianfusion,0
399,4.5,2,wine_bars,0
5119,4.5,2,thai,0
229,4.5,2,italian,0
114,4.5,2,italian,0
1489,4.5,2,indpak,0
